Designator,Center-X(mm),Center-Y(mm),Layer,Rotation
IC1,40.4500mm,9.4750mm,BottomLayer,270
D256,14.1298mm,71.8435mm,TopLayer,216.0000076
D255,17.3000mm,71.9970mm,TopLayer,210
D254,16.5000mm,73.3827mm,TopLayer,210
D253,30.0000mm,75.4000mm,TopLayer,180
D252,30.0000mm,77.0000mm,TopLayer,180
D251,27.1777mm,76.8521mm,TopLayer,186
D250,24.3864mm,76.4100mm,TopLayer,192
D249,19.0181mm,74.6657mm,TopLayer,204
D248,21.6565mm,75.6785mm,TopLayer,198
D247,45.8702mm,71.8435mm,TopLayer,143.9999962
D246,42.7000mm,71.9970mm,TopLayer,150
D245,43.5000mm,73.3827mm,TopLayer,149.9999962
D244,40.9819mm,74.6657mm,TopLayer,156
D243,38.3435mm,75.6785mm,TopLayer,162
D242,35.6136mm,76.4100mm,TopLayer,167.9999924
D241,32.8223mm,76.8521mm,TopLayer,174
D240,45.8702mm,28.1565mm,TopLayer,36
D239,42.7000mm,28.0030mm,TopLayer,30
D238,43.5000mm,26.6173mm,TopLayer,30
D237,40.9819mm,25.3343mm,TopLayer,24
D236,38.3435mm,24.3215mm,TopLayer,18
D235,35.6136mm,23.5900mm,TopLayer,12.00000763
D234,32.8223mm,23.1479mm,TopLayer,6
D233,30.0000mm,24.6000mm,TopLayer,0
D232,30.0000mm,23.0000mm,TopLayer,0
D231,27.1777mm,23.1479mm,TopLayer,354
D230,24.3864mm,23.5900mm,TopLayer,347.9999924
D229,21.6565mm,24.3215mm,TopLayer,342
D228,19.0181mm,25.3343mm,TopLayer,336
D227,17.3000mm,28.0030mm,TopLayer,330
D226,16.5000mm,26.6173mm,TopLayer,330
D225,14.1298mm,28.1565mm,TopLayer,323.9999924
D224,50.0649mm,31.9335mm,TopLayer,48
D223,48.0665mm,29.9351mm,TopLayer,42
D222,50.5490mm,35.0703mm,TopLayer,54
D221,46.6663mm,46.0001mm,TopLayer,270
D220,45.3329mm,46.0001mm,TopLayer,270
D219,43.9997mm,46.0001mm,TopLayer,270
D218,42.6664mm,46.0001mm,TopLayer,270
D217,41.3331mm,46.0001mm,TopLayer,270
D216,39.9998mm,46.0001mm,TopLayer,270
D215,38.6665mm,46.0001mm,TopLayer,270
D214,37.3332mm,46.0001mm,TopLayer,270
D213,35.9999mm,46.0001mm,TopLayer,270
